word,difficulty,frequency,defined_in,1gram-score,is_profane,level
quad,6,3.03,tw/wapi,0.4991212653778559,False,hard
quay,8,2.67,tw/wapi,0.4789103690685414,False,hard
quid,7,3.69,tw/wapi,0.4411247803163445,False,hard
quip,9,2.33,tw/wapi,0.3954305799648507,False,hard
quit,3,4.91,tw/wapi,0.5096660808435852,False,medium
quiz,4,3.61,tw/wapi,0.327768014059754,False,hard
race,2,4.75,tw/wapi,0.7996485061511425,False,easy
racy,8,2.76,tw/wapi,0.6115992970123024,False,medium
rack,3,3.81,tw/wapi,0.6300527240773288,False,medium
raft,6,3.53,tw/wapi,0.6511423550087874,False,easy
rage,4,4.04,tw/wapi,0.7724077328646749,False,easy
raid,5,3.93,tw/wapi,0.6898066783831284,False,easy
rail,3,3.65,tw/wapi,0.6397188049209139,False,medium
rain,2,4.77,tw/wapi,0.6713532513181021,False,easy
rake,6,3.37,tw/wapi,0.7644991212653779,False,easy
ramp,4,3.46,tw/wapi,0.593145869947276,False,medium
quin,10,2.3,tw/wapi,0.4226713532513181,False,hard
rand,6,3.07,tw/wapi,0.7434094903339192,False,easy
rani,10,3.33,tw/wapi,0.648506151142355,False,medium
rank,3,3.86,tw/wapi,0.741652021089631,False,easy
rant,5,2.87,tw/wapi,0.81195079086116,False,easy
rape,2,4.31,tw/wapi,0.7750439367311074,False,easy
rapt,9,1.97,tw/wapi,0.6757469244288226,False,easy
rash,5,3.76,tw/wapi,0.5957820738137084,False,medium
rasp,10,2.4,tw/wapi,0.6142355008787348,False,medium
rate,1,4.44,tw/wapi,0.8172231985940246,False,easy
rave,6,3.36,tw/wapi,0.7557117750439368,False,easy
raze,10,2.63,tw/wapi,0.7425307557117751,False,easy
read,1,5.36,tw/wapi,0.5949033391915641,False,medium
real,1,5.62,tw/wapi,0.5448154657293498,False,medium
ream,8,2.49,tw/wapi,0.537785588752197,False,medium
reap,6,3.31,tw/wapi,0.5492091388400704,False,medium
redo,7,3.16,tw/wapi,0.38312829525483305,False,hard
rein,7,2.93,tw/wapi,0.5184534270650264,False,medium
reit,10,-1,tw/wapi,0.6054481546572935,False,medium
rend,9,2.33,tw/wapi,0.5905096660808437,False,medium
rent,2,4.63,tw/wapi,0.6590509666080844,False,easy
rest,1,5.32,tw/wapi,0.5755711775043937,False,medium
rial,8,1.74,tw/wapi,0.5826010544815466,False,medium
rice,3,4.5,tw/wapi,0.6845342706502636,False,easy
rich,2,4.94,tw/wapi,0.45254833040421805,False,hard
rick,7,4.19,tw/wapi,0.51493848857645,False,medium
ride,2,5,tw/wapi,0.6590509666080845,False,easy
rife,7,2.81,tw/wapi,0.6353251318101933,False,medium
rift,7,3.39,tw/wapi,0.5360281195079086,False,medium
rely,3,3.93,tw/wapi,0.49736379613356774,False,hard
rile,10,2.4,tw/wapi,0.7231985940246045,False,easy
rime,9,2.08,tw/wapi,0.6915641476274166,False,easy
rind,8,2.43,tw/wapi,0.6282952548330404,False,medium
ring,2,4.93,tw/wapi,0.5641476274165202,False,medium
rink,7,3.27,tw/wapi,0.6265377855887523,False,medium
riot,6,3.87,tw/wapi,0.6019332161687172,False,medium
ripe,5,3.59,tw/wapi,0.6599297012302285,False,easy
rise,2,4.5,tw/wapi,0.7126537785588752,False,easy
risk,1,4.69,tw/wapi,0.5430579964850615,False,medium
rite,6,3.38,tw/wapi,0.702108963093146,False,easy
rive,9,1.82,tw/wapi,0.6405975395430581,False,medium
road,1,5.08,tw/wapi,0.6950790861159929,False,easy
roam,6,3.55,tw/wapi,0.6379613356766257,False,medium
roan,9,2.64,tw/wapi,0.6766256590509666,False,easy
robe,6,3.76,tw/wapi,0.7082601054481547,False,easy
rock,1,5.01,tw/wapi,0.577328646748682,False,medium
roil,10,2.52,tw/wapi,0.5869947275922672,False,medium
role,1,4.48,tw/wapi,0.7855887521968367,False,easy
rome,6,4.43,tw/wapi,0.7539543057996486,False,easy
romp,7,2.54,tw/wapi,0.5404217926186292,False,medium
rope,4,4.29,tw/wapi,0.7223198594024605,False,easy
ropy,10,1.97,tw/wapi,0.5342706502636204,False,medium
rose,2,4.62,tw/wapi,0.7750439367311072,False,easy
rosy,7,3.38,tw/wapi,0.5869947275922671,False,medium
